Bùi Tiến Dũng,0,Thủ môn,180,78,1/28/1997,https://vpf.vn/wp-content/uploads/2018/12/CAHN_24_BuiTienDung_VN001910-150x150.jpg
Hà Văn Phương,0,Tiền vệ,170,69,7/13/2001,https://vpf.vn/wp-content/uploads/2018/12/CAHN_26_HaVanPhuong_VN001911-150x150.jpg
La Nguyễn Bảo Trung,0,Tiền vệ,172,67,10/5/2002,https://vpf.vn/wp-content/uploads/2018/12/CAHN_27_LaNguyenBaoTrung_VN001912-150x150.jpg
Hồ Văn Cường,0,Hậu vệ,167,63,1/15/2003,https://vpf.vn/wp-content/uploads/2018/12/CAHN_30_HoVanCuong_VN001640-150x150.jpg
Đỗ Sỹ Huy,0,Thủ môn,181,80,4/16/1998,https://vpf.vn/wp-content/uploads/2018/12/CAHN_33_DoSyHuy_VN001913-150x150.jpg
Huỳnh Tấn Tài,0,Tiền vệ,168,66,8/17/1994,https://vpf.vn/wp-content/uploads/2018/12/CAHN_39_HuynhTanTai_VN001914-150x150.jpg
Phạm Gia Hưng,0,Tiền đạo,181,74,4/26/2000,https://vpf.vn/wp-content/uploads/2018/12/CAHN_47_PhamGiaHung_VN001915-150x150.jpg
Bùi Hoàng Việt Anh,0,Hậu vệ,184,82,1/1/1999,https://vpf.vn/wp-content/uploads/2018/12/CAHN_68_BuiHoangVietAnh_VN001917-150x150.jpg
Trần Quang Thịnh,0,Hậu vệ,179,73,5/12/2001,https://vpf.vn/wp-content/uploads/2018/12/CAHN_55_TranQuangThinh_VN001916-150x150.jpg
Geovane Magno,0,Tiền đạo,188,78,4/14/1994,https://vpf.vn/wp-content/uploads/2018/12/CAHN_94_GeovaneMagno_VN001919-150x150.jpg
Giáp Tuấn Dương,0,Hậu vệ,176,73,9/7/2002,https://vpf.vn/wp-content/uploads/2018/12/CAHN_98_GiapTuanDuong_VN001920-150x150.jpg
Hoàng Đình Tùng,0,Tiền vệ,168,62,8/24/1988,https://vpf.vn/wp-content/uploads/2018/12/THFC_VN0000626_HoangDinhTung_2-150x150.jpg
Nguyễn Sỹ Nam,0,Hậu vệ,170,66,3/7/1993,https://vpf.vn/wp-content/uploads/2018/12/THFC_VN0002244_NguyenSyNam_6-150x150.jpg
